observation_id,country_code,country,who_region,year,specimen,pathogen,antibiotic,total_specimen_isolates,interpretable_ast,resistant_count,resistance_rate,source
7a3aab99e4fd16c9727d2d62d1b590c9,IND,India,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,14459,1289,711,55.159038014,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
f7d626d4c884ee0f9caae08c21ea93a2,IDN,Indonesia,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,1381,188,22,11.70212766,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
0ba7223bc5aa0962294fc871cf47db0f,NPL,Nepal,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,1202,55,14,25.454545455,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
8361c2841e2fa057359bde66e9cbd210,THA,Thailand,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,2629,325,29,8.923076923,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
f15621a84a446fd7dd405c9aa5a7bd40,IND,India,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,24223,3612,2079,57.558139535,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
2fe543702a930bacf2ea1e743b8c4ea2,IDN,Indonesia,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,2314,648,96,14.814814815,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
1b7232da2b07235a11263e1399612a8b,NPL,Nepal,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,2380,187,46,24.598930481,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
f51cbc85078e421e5b808c3d70fe8234,THA,Thailand,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,5463,905,104,11.491712707,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
6c68e0cb8967e34f16d6e3c8d540e048,IND,India,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,12371,2610,1499,57.432950192,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
50bdd556032a41710b5c4f2dedccab5c,IDN,Indonesia,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,1676,385,73,18.961038961,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
f6dbbadf45e143ad36eabdafe4ef185f,NPL,Nepal,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,1515,401,64,15.960099751,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
6de61fb29dad8f1b03b5397447d34777,THA,Thailand,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,6159,1152,110,9.548611111,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
c6014d41210a38d4c5e0a506bc8599c4,IND,India,South-East Asia Region,2021,BLOOD,Klebsiella pneumoniae,Meropenem,34056,6153,3586,58.280513571,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
5c87434daee4678db54cc2bea8f579a5,IDN,Indonesia,South-East Asia Region,2021,BLOOD,Klebsiella pneumoniae,Meropenem,3070,678,161,23.746312684,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
1f0cf1a69aed69253025321e8fe1ca7d,NPL,Nepal,South-East Asia Region,2021,BLOOD,Klebsiella pneumoniae,Meropenem,1301,256,59,23.046875,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
a9a476addf1bafb971dfdf3bb4660bf2,THA,Thailand,South-East Asia Region,2021,BLOOD,Klebsiella pneumoniae,Meropenem,6559,1130,169,14.955752212,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
9755849168dadeb7c208dd886e692c3d,IND,India,South-East Asia Region,2022,BLOOD,Klebsiella pneumoniae,Meropenem,43929,7553,4614,61.088309281,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
fe2f7d73156e6d9f0b3710f701beb2f6,IDN,Indonesia,South-East Asia Region,2022,BLOOD,Klebsiella pneumoniae,Meropenem,5596,1489,341,22.901276024,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
2c83ab749608df4076046fac59f47b1d,NPL,Nepal,South-East Asia Region,2022,BLOOD,Klebsiella pneumoniae,Meropenem,2829,438,231,52.739726027,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
c2e7d5ad7638832dc92f391fd5fda348,THA,Thailand,South-East Asia Region,2022,BLOOD,Klebsiella pneumoniae,Meropenem,9544,1657,221,13.337356669,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
e949a5208043575d638a7eaf47463c43,IND,India,South-East Asia Region,2023,BLOOD,Klebsiella pneumoniae,Meropenem,41375,8610,5405,62.775842044,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
07e1ee56835398f4ddae04468170eb26,IDN,Indonesia,South-East Asia Region,2023,BLOOD,Klebsiella pneumoniae,Meropenem,9180,2280,547,23.99122807,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
994d0eee675366a410e27430be76bf97,NPL,Nepal,South-East Asia Region,2023,BLOOD,Klebsiella pneumoniae,Meropenem,2740,371,202,54.447439353,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
dda6390b62eee7251d7c604ba5badb15,THA,Thailand,South-East Asia Region,2023,BLOOD,Klebsiella pneumoniae,Meropenem,14722,2390,482,20.167364017,Time series of resistance to antibiotics (2018-2023)_South-East Asia Region-BLOOD.csv
